x,y
-7.3390,-7.7300
-7.7400,-7.2647
-1.6867,7.7934
4.4222,3.0719
-8.9178,-7.8882
5.4975,1.8132
-2.3360,9.3996
5.0528,1.4094
-2.9884,8.8286
-3.7005,9.6708
-3.1109,10.8666
4.9969,1.2803
-2.3003,7.0546
-3.9246,8.5936
-7.5303,-7.3672
-3.2113,8.6866
-8.5072,-6.8320
2.6147,2.1596
-2.4121,9.9829
-1.9223,11.2047
-1.3506,8.1936
-2.6705,9.4183
5.6150,1.8261
-6.9920,-7.1011
-2.9726,8.5486
-6.3498,-5.4385
-7.4564,-6.1247
3.8217,4.0656
4.6276,1.0759
-3.3987,8.1985
-3.4997,8.4480
-3.5801,9.4968
-6.0493,-7.7362
-2.2951,7.7685
-8.3948,-5.5132
-2.2817,10.3214
-6.1226,-7.8023
4.8848,1.4662
-6.9867,-7.9154
4.9816,3.8493
5.9068,1.2655
-2.2516,8.9398
-7.3672,-7.3127
4.5253,3.2110
-2.5439,7.8456
-2.1478,10.5523
-6.8081,-7.3578
4.1545,2.0550
-6.5420,-7.2920
6.2259,0.7354
4.7157,1.2960
-6.8876,-5.4002
-6.5130,-7.8200
-1.0313,8.4960
-5.7003,-6.8126
5.1549,5.8259
-6.4852,-7.3011
-1.5458,9.4271
4.7534,2.6353
-2.9698,10.0714
-6.6440,-6.1092
6.7729,0.0211
5.5395,2.2805
-3.8007,-5.7605
-7.1286,-5.9085
3.7415,2.4651
3.9214,1.7597
-6.1680,-8.0048
-8.5830,-6.9357
-3.5715,9.4879
5.9454,1.9942
-5.8212,-8.6388
-7.5794,-6.6661
-2.0360,8.9415
-2.9013,7.5508
-6.6092,-6.9303
-8.9471,-6.9692
3.8807,2.1236
-3.1098,8.7226
5.8193,1.5040
-3.5220,9.3285
-2.5812,10.0178
-6.3787,-7.8577
-2.1779,9.9898
5.5903,1.3963
-6.0439,-8.0098
-5.7118,-6.6257
-0.6434,9.4881
6.4053,2.3782
-3.8869,8.0765
-8.5490,-6.3367
-2.5450,10.5789
-6.4006,-6.5464
-1.5938,9.3430
-3.0390,9.5276
-7.4333,-8.0780
-7.9472,-7.0225
-2.2493,9.7961
-7.6429,-8.6850
-6.4662,-5.0033
4.1649,1.3198
-2.1514,9.5751
4.4318,1.4802
-1.7182,8.1049
-3.3484,8.7051
-2.2672,7.1010
-2.1656,7.2512
-2.2587,9.3607
6.7931,1.2058
-8.2782,-6.3171
5.3261,0.3605
-3.2925,8.6922
-3.3177,8.5125
-2.4417,7.5895
-2.5227,7.9566
4.8389,1.3730
-7.9169,-7.0704
2.9267,3.3270
-8.7504,-7.2316
3.6339,0.7590
5.1592,3.5059
4.8640,1.9858
-1.1064,7.6124
-6.3031,-6.5689
-6.5473,-7.6286
-7.0075,-7.8357
-6.2655,-6.1226
-3.1861,9.6260
-5.8421,-7.3901
-7.4099,-7.6730
-1.4261,10.0681
-4.4280,8.9878
-2.4174,7.0267
-4.2341,8.4520
-3.9877,8.2944
5.1449,2.8389
4.3873,0.7254
-7.1495,-7.8589
-2.5041,8.7797
-7.3935,-7.9393
-2.9787,9.5568
-2.7546,8.2605
-4.8189,-5.1248
-2.4222,8.7153
3.1205,1.4889
3.9246,2.6528
5.4527,2.6028
-2.2325,9.8415
5.9175,1.3816
-3.1892,9.2465
-3.4172,7.6020
-4.9149,-6.8448
4.9209,1.3505
-8.4137,-5.6024
-2.2131,9.2753
3.4396,1.6387
4.6214,1.6845
-7.4101,-7.4559
-6.2410,-8.5416
-3.3931,9.1680
-5.1289,9.8362
-7.7552,-8.2629
-5.3285,-6.7644
-5.6784,-7.2882
-2.4510,7.8713
-6.0085,-7.2061
4.1688,2.2052
-2.4490,11.4775
-1.9873,9.3113
-1.6957,7.7834
-1.3664,9.7662
-3.4286,10.5642
3.8002,1.3738
-2.9557,9.8707
3.6584,2.4353
4.6644,2.4712
5.5122,2.1565
-2.7739,11.7345
6.7620,3.0056
5.2640,2.6015
-6.7930,-7.0358
-3.0536,9.1252
-7.5423,-6.3095
6.2723,0.5430
5.2108,3.1087
-9.3513,-7.6770
4.9640,1.8430
-1.0435,8.7885
1.3986,0.9488
4.1998,2.1039
-6.9423,-5.9250
-5.2510,-8.2602
3.8144,1.6518
-8.4861,-6.6766
3.9095,2.1896
3.3196,3.8046
4.6209,0.9706
6.7838,2.6071
-3.4839,9.8014
-6.6978,-6.6319
-1.7707,9.1857
-2.6248,8.7132
3.8177,2.2169
4.0505,2.8228
-1.6967,10.3705
4.9508,3.4485
-7.8654,-6.3761
-7.5262,-7.9617
4.7369,2.5683
-2.1476,8.3692
-2.4095,8.5108
-7.8446,-6.1941
6.0910,2.9324
3.3790,2.8910
-6.8311,-7.7111
-5.3773,-6.8060
-6.2468,-4.6094
-6.3026,-7.0832
-3.7461,7.6938
-7.1547,-9.1820
-6.0502,-9.0912
2.5160,1.4474
-7.6360,-8.3024
-8.1841,-6.2104
-2.4962,10.4678
3.8474,1.8584
-7.3239,-6.5028
-5.1925,-5.9985
4.3246,2.7321
-2.5863,9.3554
-1.6871,10.9111
-5.9534,-4.9707
-2.8519,8.2120
-8.0629,-8.9193
4.6855,1.3216
5.3218,1.6629
-7.5315,-6.8327
4.6190,2.0905
-5.2347,-7.1291
-6.9457,-8.0911
-6.5899,-4.8047
4.9626,1.1459
5.7980,2.7648
-1.8835,8.1571
-5.3565,-6.3412
3.0455,1.3738
5.3300,1.5719
4.6451,2.0202
-6.6199,-7.7844
5.1870,1.7710
-6.5085,-7.4841
4.5311,2.3749
-7.4720,-7.7441
6.9545,0.1059
6.8297,1.1649
-6.5527,-7.0992
3.7129,1.9136
-3.8374,9.2111
-8.3582,-5.7364
-2.2161,8.2999
-2.7327,9.7283
-1.4782,9.9456
-6.8023,-7.7414
-4.0599,9.0828
5.4653,2.7867
3.9781,2.8256
-6.7593,-6.3657
4.7097,1.5879
5.3872,2.5835
-2.7016,9.3158
-0.9300,9.7817
4.7376,1.2002
4.1679,3.0621
5.1549,2.4870
-6.7803,-6.1287
-5.8733,-7.4570
-7.1490,-6.1626
-3.6155,7.8181
-0.6230,9.1889
-3.3560,7.4994
3.8671,1.7364
5.0837,2.7478
6.0812,0.5373
3.1918,0.5657
-6.5411,-7.2954
4.7042,0.8954
-6.2343,-5.5115
5.5939,2.6246
4.4881,2.5615
-6.4956,-6.9128
-2.1851,8.6292
4.1898,2.5960
5.8030,1.9834
-2.7289,9.3714
-7.1186,-7.7877
-3.6602,9.3900
3.8109,1.4130
-4.1167,9.1989
-6.8612,-5.2037
-6.0100,-5.5245
