x,y,z
-5.085526,0.729327,-8.283131
-3.033561,-1.243724,-8.510814
-3.302381,7.080710,-11.328871
-1.951451,0.309658,-9.517553
-2.197233,1.525434,-10.731348
-3.990645,5.312466,-13.149810
-5.050761,-4.132799,-3.600948
-10.772776,2.681610,-6.533842
-7.282255,1.062462,8.657433
-6.026869,-3.360720,-3.576996
-4.867097,-4.082544,-3.443717
-8.294076,-0.471792,7.107386
-5.540991,4.187313,-12.640954
-7.902643,0.018477,8.316749
-8.195169,0.075511,7.360398
-9.742364,0.596517,-4.104604
-2.560943,7.400481,-11.306834
-8.884160,0.910824,6.616694
-12.398856,1.736910,-6.335624
-2.520097,0.483982,-11.292534
-11.951124,0.529312,-6.522873
-10.903416,2.243492,-5.524994
-1.607470,-0.035449,-9.734164
-8.188326,1.323106,8.133157
-11.847453,1.317106,-7.185966
-8.479241,0.242302,8.484634
-10.670390,0.301907,-6.228614
-5.646410,6.236969,-11.159377
-11.502873,0.639022,-6.139884
-11.092180,2.827663,-7.095009
-3.274677,-1.682532,-7.946097
-8.716481,-0.182547,6.803773
-1.175542,-2.208783,-8.873848
-3.646155,-0.149462,-9.614189
-8.397667,1.014582,6.013952
-9.982770,1.387387,-5.394776
-4.170710,5.953470,-11.878996
-0.248262,0.033724,-10.816914
-4.592304,6.521750,-10.593916
-3.523927,7.609815,-12.334180
-3.655731,5.767630,-12.614511
-13.653677,-0.032668,-7.390423
-2.524881,1.426794,-12.504057
-3.142510,4.734450,-10.504581
-3.397569,6.128568,-9.516247
-4.807568,-3.232098,-3.477489
-3.818242,-4.489760,-5.579534
-2.259601,-1.997948,-8.048067
-7.205464,0.715634,7.244714
-7.084040,-4.340117,-0.634091
-11.511688,1.304087,-5.570593
-2.758667,-1.035227,-10.834877
-2.085290,0.092095,-9.066153
-3.227222,-3.806692,-3.086920
-1.900423,1.341199,-9.481428
-11.968810,1.695031,-5.660871
-3.234551,-1.088007,-8.146592
-5.950722,-5.815682,-3.693926
-3.791914,-5.828729,-3.607279
-4.730463,-2.449509,-3.131547
-5.603738,-3.023468,-3.479246
-8.806045,1.558832,5.941430
-11.084582,0.882810,-6.166640
-5.261858,-4.041349,-1.911821
-4.078509,6.989785,-9.832236
-7.787031,-0.318016,6.861325
-3.245268,6.332050,-11.738780
-3.809990,-1.237494,-8.658618
-8.601303,-2.614233,5.542688
-5.650957,-5.380115,-4.178705
-4.459781,3.985292,-10.724636
-6.402775,0.948601,9.114009
-3.816161,-3.549955,-2.940243
-11.623684,2.294330,-5.747805
-5.506651,-4.613946,-2.331174
-11.032742,-0.282596,-6.837320
-11.615524,2.105227,-6.009333
-3.113851,-0.252729,-7.943728
-10.236569,1.328201,7.585422
-2.598010,7.150129,-11.306415
-1.594914,-0.653565,-8.438882
-10.255795,2.680807,-5.237832
