x,y,z
1.241785,-3.538427,-2.856885
-0.345661,-1.051613,-2.775686
1.619221,-0.856786,-2.566780
3.807575,-2.005693,-2.578479
-0.585383,-0.403214,-3.551068
-0.585342,1.010127,-3.375130
3.948032,4.715465,-2.793986
1.918587,0.436445,-2.794486
-1.173686,0.643876,-2.793981
1.356400,-0.186115,-1.458907
-1.158544,-4.796928,-2.771644
-1.164324,-0.066285,-2.545774
0.604906,0.150576,-2.618399
-4.783201,6.158105,-2.739443
-4.312295,-0.480902,-3.126108
-1.405719,0.753868,-2.696412
-2.532078,-0.086779,-3.309130
0.785618,-2.921695,-3.094727
-2.270060,2.857057,-3.194145
-3.530759,1.879833,-2.967250
3.664122,1.977580,-2.074137
-0.564441,-2.273469,-3.746906
0.168821,3.506986,-2.725496
-3.561870,-3.504628,-3.645086
-1.360957,1.467143,-3.188773
0.277306,5.476139,-2.564420
-2.877484,-2.476341,-2.974288
0.939245,-1.415744,-3.431098
-1.501597,0.249128,-3.286121
-0.729234,-1.258689,-2.728161
-1.504267,-3.876659,-3.292147
4.630695,0.171407,-2.913417
-0.033743,-2.655759,-2.981771
-2.644277,1.183981,-3.260640
2.056362,-2.298561,-2.142422
-3.052109,3.874836,-2.746432
0.522159,-1.958133,-3.810057
-4.899175,-0.805154,-2.925418
-3.320465,2.033793,-3.264715
0.492153,-3.077161,-2.659027
1.846166,0.568650,-3.317008
0.428421,3.267857,-3.045895
-0.289121,-4.018708,-2.798005
-0.752759,0.461585,-2.653698
-3.696305,0.649707,-3.480119
-1.799611,1.954557,-3.133800
-1.151597,-3.092377,-3.189978
2.642806,-3.301142,-3.261332
0.859046,1.304854,-2.293818
-4.407600,0.742462,-2.838007
0.810210,0.626232,-3.504354
-0.962706,0.866121,-2.632855
-1.692305,-1.700062,-2.151138
1.529191,0.580634,-2.587014
2.577499,0.732681,-3.607748
2.328200,-1.785879,-3.193694
-2.098044,4.664436,-2.493236
-0.773031,1.184582,-3.283068
0.828159,-2.978259,-2.822472
2.438863,1.641384,-2.690146
-1.197936,-2.436704,-3.370772
-0.464147,1.967712,-3.023810
-2.765837,2.896489,-4.296507
-2.990517,-2.051706,-3.409755
2.031315,2.408440,-3.101027
3.390600,1.031952,-3.499113
-0.180025,2.055150,-2.347035
2.508832,4.741982,-3.572057
0.904090,-0.613470,-3.176018
-1.612799,-1.884340,-2.947704
0.903489,-2.223786,-2.423491
3.845091,-2.039526,-3.574345
-0.089565,-0.192754,-2.534734
3.911609,0.852880,-2.995907
-6.549363,0.691727,-3.392603
2.054756,2.067958,-2.815159
0.217618,0.032505,-2.920376
-0.747518,3.633835,-3.240087
0.229402,-0.661642,-2.972079
-4.968922,6.800423,-3.154125
-0.549180,1.564168,-2.954593
0.892781,-2.142894,-2.735148
3.694735,-2.677231,-2.365593
-1.295676,1.206181,-3.495126
-2.021234,-0.558657,-2.146787
-1.254393,1.785001,-3.780835
2.288505,1.183094,-3.060714
0.821878,-0.182072,-2.764673
-1.324401,-2.116984,-2.887603
1.283169,-3.787118,-3.249080
0.242694,-1.116287,-3.083249
2.421612,2.140997,-3.197200
-1.755133,0.535234,-3.235746
-0.819155,-3.114347,-2.660159
-0.980270,0.432952,-2.857194
-3.658787,0.963293,-3.277164
0.740301,-2.209644,-2.640160
0.652638,0.384313,-2.877080
0.012784,0.145522,-2.674855
-0.586468,-2.857426,-2.748148
-2.072488,-3.986069,0.370471
-1.400453,-1.498438,0.763767
1.868234,0.013109,-0.559427
1.525926,0.117451,0.225188
-0.052254,-1.125164,-0.260257
0.293318,1.557125,-0.194850
3.194162,-2.669051,-0.236958
-1.478928,-0.355949,-0.345596
1.367743,0.300739,0.019409
-0.505482,1.286097,-0.332380
-0.544203,1.779037,0.108183
2.746942,-2.811605,-0.020095
2.063541,-3.835285,-0.095579
2.033774,3.194192,-0.363025
3.263697,0.830785,-0.230709
0.052510,-1.871216,0.302156
1.704882,3.877880,0.200367
-0.775667,0.289187,-0.391022
0.810416,2.948243,0.039733
-0.325358,0.168796,0.300555
0.242490,5.151870,-0.667762
1.487893,4.388352,0.217344
-2.045552,-0.622410,-0.265050
5.230968,2.428927,0.228239
-2.515043,1.613440,-0.305304
-3.035472,3.421579,-0.721953
2.895277,-2.412309,-0.651017
1.979157,1.715129,0.019234
1.560300,2.646061,0.103889
1.570864,-4.396849,-0.361727
-0.030617,-2.958146,0.255437
-2.243136,-5.098080,-0.664608
0.189511,-0.673517,-0.026432
-1.692904,1.793856,-0.484406
2.437799,3.755893,-0.260734
-0.367643,0.185237,0.018959
-2.063743,4.071539,-0.344165
-0.803465,-3.450254,-0.153822
1.032329,-4.258456,0.402517
-1.409311,-0.138869,-0.230757
-2.055551,0.960164,0.334277
0.609218,-0.081737,-0.451883
0.612416,-5.168605,0.211922
-1.267358,-0.222800,0.576627
-1.177596,-3.261174,-0.988658
0.580125,1.674181,-0.318758
-3.620211,0.916496,0.230829
-3.518659,-2.349699,-0.081218
-1.796111,-1.284667,0.148458
-0.533618,-2.648034,-0.241594
0.777269,-0.156698,0.034636
3.688391,2.387856,-0.062271
2.144149,-2.464315,0.467113
-0.399846,1.260116,0.101768
-0.047541,-1.325644,0.135041
-2.506323,-1.982182,-0.164751
-0.046283,-0.267576,-0.195042
-0.721647,-2.588106,-0.173023
0.806796,-1.384123,0.157781
-2.068077,-2.994695,-0.168394
1.298366,4.911813,0.115910
3.831847,0.088159,0.830160
-0.271900,-1.749314,0.348450
1.004279,0.534950,-0.130409
1.725360,-0.280820,0.480486
-1.003051,-0.552424,-0.163230
0.560231,1.535417,-0.815250
0.031481,1.893769,-0.403235
0.244190,-1.326253,-0.748317
-1.932524,-1.439546,-0.140605
0.061275,-0.687629,0.007367
1.244996,-5.754803,0.670575
3.627859,-3.787978,0.130771
2.398177,3.417186,-0.087640
5.382956,4.112419,0.331762
-1.918369,-0.622590,-0.884454
2.180802,1.441392,0.094246
0.458355,0.778125,0.308346
5.474507,7.697202,-0.591434
-2.020746,2.798937,0.457502
-2.099305,-0.319794,0.135399
-1.498482,-2.388851,-0.166115
-5.309739,-4.016116,0.253113
-1.314388,0.508659,0.908277
-1.897832,-1.890877,0.072747
0.375984,-3.555634,0.099288
0.854390,-1.616432,-0.183744
4.690427,-2.703870,-0.339938
2.376060,4.217854,0.332134
-1.442259,2.204099,-0.342434
-2.246037,-0.019932,0.028626
1.229798,3.699860,-0.191063
-3.300583,0.193421,0.191592
4.578647,-2.153211,0.133465
2.948600,3.807810,0.415016
-1.172939,1.347275,-0.204007
-4.282836,-2.593115,-0.107950
3.384681,-0.475847,-0.391505
-0.286350,-2.189046,-0.177717
3.094541,-3.456999,0.150920
1.892472,-1.306808,3.375314
-2.305413,2.622523,2.793582
2.174015,-1.760859,3.038448
3.389095,-3.521153,2.815090
1.033587,-3.891573,2.826202
4.691990,1.515025,2.876331
-1.934473,-3.201073,3.088854
-3.111637,4.386985,2.808501
-4.446801,-5.204824,3.502302
3.740111,4.241141,2.642157
1.635914,0.527544,2.925251
-0.138962,-0.241783,2.824108
0.699922,-1.362298,3.578791
-2.813723,0.997840,3.078622
6.114380,-0.094087,3.412738
0.323053,2.758255,2.405776
0.273487,0.285569,3.106820
1.814417,0.375754,3.355852
1.202523,-0.909031,3.032914
0.559710,-0.142364,3.426192
-1.976186,0.769504,2.793085
1.178671,-4.275421,3.563739
4.705061,-3.370464,3.919559
3.363550,1.858160,2.854865
3.982967,0.427164,2.821799
-1.278039,-0.459958,3.581354
-2.474012,0.046085,3.631829
-0.314467,0.868954,2.790856
0.139312,-1.349399,2.831925
2.735479,-1.945762,2.887286
-4.231162,0.489613,2.462220
3.823876,-2.445932,2.632539
-0.395020,1.020632,2.598344
-1.067203,-4.256459,2.692881
-2.530261,2.572889,2.986126
-4.137142,1.181494,3.093686
2.057926,0.640074,3.620200
0.183295,2.456727,2.600658
-3.224902,4.163686,3.393729
-3.237697,2.535925,2.914404
-0.839462,-4.602186,2.980215
4.172554,-3.198942,3.269928
-0.648978,-1.562046,2.550911
-3.757857,0.065228,3.152964
-0.614358,1.294148,3.066581
-0.681809,-1.814360,3.196981
-6.742217,0.466917,3.115667
-0.135737,-1.888457,3.982120
-0.577336,-1.528795,2.744904
1.740516,-3.516653,2.787601
4.622390,-2.308083,2.750744
2.816413,-3.379212,2.777809
-0.672222,-2.439683,2.745045
-2.766315,2.634104,3.475607
6.433400,-2.373497,3.568202
0.148046,6.580955,2.771701
0.034823,1.233295,2.667058
-0.060313,0.462090,3.188566
0.495212,-2.145894,2.779111
-0.360901,1.750775,3.253173
-1.434155,-1.439095,3.081169
-1.367147,0.305025,2.393702
-0.081883,6.400211,3.619002
-1.358562,-0.240150,3.718351
-1.782114,2.873183,2.754885
0.266076,-1.757941,2.844919
-0.637443,-0.087471,3.114346
3.759982,4.427002,3.133783
-6.627425,-1.567418,3.263418
2.728767,4.531121,3.804082
3.115213,1.769380,2.929221
-5.183476,-1.406167,2.680681
-0.856719,1.581019,2.448272
-0.928602,2.431386,2.707628
-3.518779,1.554525,2.986749
-1.944542,-3.925562,3.717823
-2.776440,-1.817843,2.792955
4.380676,-0.618797,3.089515
2.339196,-0.186084,2.993431
3.178888,1.551680,3.475357
1.804180,0.444253,4.010773
-2.822629,-3.338361,2.787652
-1.311301,0.950495,2.804224
1.223436,1.526464,3.417664
-3.055320,1.399476,3.272757
1.782496,2.701952,3.738683
-0.600813,2.084805,3.233571
-0.937052,1.147950,2.856283
1.777400,-0.175414,3.236262
1.110658,-4.152402,3.443481
-0.902415,1.074046,3.328193
2.898325,0.519219,3.202910
-2.702658,0.678947,3.426670
1.539839,-3.191871,3.467718
1.482753,-2.702641,3.552864
-0.773866,2.632882,3.259484
0.815333,-0.098888,2.933153
-3.127784,1.703752,3.058685
2.310068,0.070796,3.482604
-0.462255,0.074390,2.673226
