x,y
-4.164680,-0.550894
-4.677799,0.864530
-3.839515,0.103438
-5.284949,0.207489
-3.648979,0.192515
-4.591565,0.163940
-4.266597,0.467870
-3.420787,-1.098242
-4.130564,0.010943
-4.642884,-0.249714
-4.656632,-0.667066
-4.028859,0.295393
-4.057950,-0.472085
-3.708621,0.046823
-4.150959,-0.131490
-4.260547,-0.668344
-4.610205,0.049001
-3.488658,-0.318140
-3.350683,-0.419826
-4.750891,-0.142287
-4.462502,0.168300
-4.094166,0.065372
-4.289988,-0.790115
-4.042187,0.432125
-4.802150,-0.539075
-4.236070,0.249872
-4.048965,-0.127918
-3.027276,-0.614480
-3.592421,0.452178
-3.972974,0.271264
-4.673146,0.205508
-3.009157,-0.335252
-4.226594,-0.045870
-4.353459,-0.303259
-4.190512,-0.134167
-4.729534,-0.310734
-4.953699,0.230083
-4.150370,-0.253257
-3.691947,0.000790
-3.460908,0.580956
-3.669690,-0.119956
-4.106321,0.297349
-4.363906,-0.219349
-3.589906,0.921812
-3.837194,0.153561
-3.558375,-0.418858
-3.441879,0.189854
-3.903350,-0.490463
-4.255460,0.282701
-3.796949,-0.294427
-3.769325,-0.004705
-4.081551,-0.244284
-3.116209,1.130809
-4.409053,0.305642
-4.292249,-0.353448
-3.305166,-0.227339
-3.660692,-0.271980
-3.529836,-0.537183
-3.928409,-0.278666
-3.786076,-0.109788
-3.377777,-0.210276
-4.866825,0.306482
-3.591440,0.471517
-4.109335,0.754784
-4.016359,-0.623461
-3.899904,0.451303
-3.711219,0.835915
-3.521854,-0.723753
-3.822668,0.349675
-4.125229,0.179966
-5.179982,-0.707116
-4.215464,-0.029199
-4.792204,-0.151613
-4.257916,-0.278815
-3.800596,-0.354400
-4.653107,0.101325
-3.769713,0.487932
-3.976706,0.532654
-4.180518,-0.365903
-5.278907,0.476083
-3.900343,-0.311310
-3.806881,-0.030311
-4.288128,0.958571
-3.971700,-0.570905
-3.520667,-0.436262
-3.690297,1.108304
-4.296120,-0.015653
-3.755866,0.699586
-3.385926,0.007899
-4.504210,0.156279
-3.684821,-0.415513
-3.577780,0.309177
-3.406018,-0.598401
-4.522475,-0.191608
-3.770936,0.804864
-4.794090,-0.217914
-4.168284,1.037586
-4.256615,-0.389235
-4.588542,0.492327
-3.958188,0.012592
-4.257567,-0.249997
-4.203794,0.076394
-4.496797,0.236584
-4.738800,0.237419
-3.164350,-0.260227
-4.320210,-0.045040
-3.374488,0.281016
-3.267169,-0.124523
-4.841827,-0.312715
-4.573112,0.229085
-4.333559,0.950348
-4.274986,-0.111655
-4.455279,-0.691918
-3.997089,-0.043635
-3.840963,0.065291
-5.355698,0.329450
-3.453775,-0.545505
-4.063245,0.215989
-5.589515,0.545331
-3.708993,-0.856771
-4.289693,1.330611
-3.805741,0.044684
-3.936910,-0.708821
-3.557692,-0.920152
-3.040789,-0.164627
-4.408459,-0.262302
-3.815540,0.454384
-3.908290,-0.258695
-3.334906,0.831361
-3.922636,-0.859654
-3.899865,-0.386888
-3.827969,-0.562896
-4.338885,0.334311
-4.446999,0.702445
-3.795008,-0.466789
-3.380296,0.055691
-3.372835,0.364932
-4.647704,-0.434114
-3.225471,0.987137
-4.838667,0.460462
-4.270650,0.031589
-3.473642,-1.130445
-3.414397,-0.032565
-4.926578,-0.022548
-3.264181,-0.290929
-4.446651,0.272660
-3.225231,-0.100921
-3.493613,-0.821330
-4.041380,0.733416
-3.359393,0.175681
-3.735727,0.351904
-4.055355,-1.365195
-4.001263,0.473117
-2.371908,0.177522
-4.585890,-0.162544
-3.503180,-0.268855
-3.709823,-0.121813
-4.153016,-0.455224
-3.851320,-0.696249
-4.107835,-0.639606
-4.456825,-0.496980
-4.140797,-0.233764
-3.980230,0.157929
-3.298573,-0.533132
-4.000404,-0.160413
-3.607249,-0.328296
-4.278527,0.155083
-3.797255,0.104697
-4.258813,-0.552237
-4.525699,-0.692096
-3.810019,-0.349769
-3.454413,0.618548
-4.091646,-0.055778
-4.813478,0.283689
-4.610488,-0.688659
-4.322242,0.161640
-4.228721,-0.154341
-5.445765,-0.423746
-4.185561,1.365729
-4.021313,-0.027313
-5.065577,0.101445
-3.669123,-0.157922
-3.170994,-0.343920
-4.188456,-0.089288
-4.984187,-0.570782
-3.899839,0.247138
-3.531773,-0.651133
-3.647714,0.257501
-3.507109,-0.388977
-4.773180,-0.044719
-4.169726,-0.164162
-3.790711,-0.167429
-3.956992,-0.306884
-4.035679,0.525369
-4.568813,-0.012966
-4.046569,0.574982
-4.695822,-0.111815
-3.787649,0.979065
-3.154916,0.424185
-4.241632,-0.837114
-4.942619,0.158914
-3.000403,-0.639136
-3.760449,-0.821464
-4.153722,-0.071378
-4.501299,-0.361283
-3.685695,0.759601
-4.347573,0.241052
-2.776722,-0.756985
-3.749415,-0.008644
-3.902911,-0.289398
-3.745152,-0.964277
-3.408551,0.028468
-4.496567,0.950807
-3.905769,0.418262
-3.037236,-0.073975
-3.822232,0.287963
-4.544910,-0.143285
-4.047151,0.211266
-4.665845,-0.330981
-3.687706,-0.694761
-3.593702,0.023170
-3.474624,0.493842
-4.579345,-0.026591
-3.408607,-0.202704
-3.691334,0.465696
-3.836491,0.610943
-4.339196,0.251723
-3.351491,0.761746
-4.778083,0.044362
-4.209157,0.232126
-3.116116,-0.726081
-3.160183,-0.260486
-4.209924,0.596268
-3.671250,0.299408
-3.515631,1.205702
-3.379174,0.006182
-4.191511,0.344039
-4.134177,-0.689743
-4.076689,-0.840653
-4.474310,0.679255
-3.734743,0.989520
-3.499703,-0.279720
-3.518295,0.078377
-3.686755,0.604254
-4.389268,-0.081600
-3.579751,0.428815
-4.319414,0.117561
-4.072248,0.833952
-5.262469,-0.003277
-3.682168,-0.992416
-3.842411,0.851204
-3.421849,0.213128
-3.628701,0.306220
-3.618205,-0.465244
-3.346870,-0.437332
-3.820054,-0.195529
-3.656060,-0.815570
-3.974576,0.363754
-4.695893,0.576825
-3.904173,0.297904
-3.924835,-0.498770
-4.351540,0.581040
-3.383252,0.177412
-4.038812,-0.307573
-4.336764,-0.784282
-4.566011,0.454484
-4.206527,-0.356909
-4.079831,1.201072
-4.177065,-0.216210
-4.677342,0.734314
-4.411844,0.644738
-4.020557,-0.295419
-4.977205,-0.195342
-2.726449,0.745768
-4.644363,-0.454953
-2.946625,0.337097
-3.330399,-0.240010
-4.196123,-0.412587
-4.270789,-0.300796
-4.537369,0.308081
-4.428159,-0.047032
-4.151030,1.116138
-3.620566,-0.469490
-4.003284,0.113294
-4.024958,0.053824
-4.945421,-1.169368
-3.891829,0.027058
-4.808740,-0.285379
-3.954423,-0.210520
-3.167125,-0.352362
-3.910840,-0.043017
-3.823019,0.311297
-4.174560,-0.354125
-4.550601,0.666331
-3.995503,-0.107186
-3.108205,0.589867
-3.808222,0.162034
-3.153801,0.152134
-3.473877,1.059318
-4.896081,0.642241
3.794204,0.248326
3.956667,-0.121043
3.899070,-0.532234
2.847487,0.373214
3.718813,-0.754231
3.815340,-0.092949
3.834068,0.556788
4.643858,0.296656
3.400125,-0.746336
3.889236,-0.196456
4.372516,0.778770
3.593406,-0.612332
4.021379,0.677917
4.010640,0.518409
3.818210,-0.087248
3.897717,0.210394
4.593513,0.187114
4.338950,-0.219706
4.689655,0.118626
3.510471,-0.189828
4.129467,-0.524538
3.846383,0.744347
5.271089,-0.375316
3.725764,-0.015334
4.099547,-0.010775
3.459463,-0.636153
3.747160,0.207103
4.953544,-0.604834
4.126357,-0.702464
3.630113,-0.365516
4.776917,0.407757
4.131182,0.593983
3.478946,-0.288018
4.529548,0.292802
4.574551,-0.373400
3.953051,-0.460577
4.520273,0.117167
3.656143,0.252552
3.918893,0.433962
4.230096,-0.408248
3.589934,-0.078502
3.862839,-0.290086
3.754307,-0.308428
3.680162,-0.094996
4.746083,-0.050321
4.211458,0.036170
4.978130,-0.732750
4.273684,-0.099675
3.633677,1.176274
4.068123,-0.852105
4.885680,-0.127367
4.451057,0.200397
4.021919,0.060792
3.274811,-0.284999
4.150852,-0.372563
3.994126,0.269483
4.048801,0.582318
4.486209,0.423043
4.810814,-0.189229
4.716714,-0.506925
3.999927,0.947645
3.787417,-0.258604
4.961433,0.341455
4.068411,0.611294
3.913965,0.305240
3.813713,-0.367758
3.904224,0.221273
3.562294,0.192659
4.905619,-0.773161
4.596471,0.614248
4.451873,0.626575
3.580548,0.159291
3.659025,0.763050
3.570954,-0.173637
4.430966,-0.220469
4.253129,-1.219491
4.824493,0.017102
3.728372,0.143938
4.024613,0.203316
3.957863,0.327555
3.306571,1.040267
4.151861,-0.735221
4.411430,0.527138
3.728731,-0.154000
4.006419,0.775929
3.987697,-0.401978
3.877045,-0.018072
3.910154,0.557096
3.852357,-0.043066
4.608259,0.720062
5.790222,0.290969
3.588419,-0.502030
3.772055,0.156226
3.640683,-0.529383
3.632687,0.837076
4.651294,0.411899
4.726501,0.377534
4.032568,-0.789832
4.784408,-0.277359
3.436593,0.189526
3.650393,0.042669
3.944218,0.144501
3.583572,-0.290824
3.914637,-1.243002
3.813150,0.274674
4.141464,0.429015
3.683508,0.444421
4.635014,0.197292
2.854034,-0.168738
4.963364,-0.177203
4.429398,-0.447958
3.976371,-1.003364
3.890120,0.017509
3.314651,0.025140
3.379304,-0.443127
3.820406,0.139299
4.034848,0.494640
4.275854,0.799155
3.855693,-0.216724
4.997226,-0.271885
4.221069,0.445405
4.596775,-0.954168
3.880442,0.374751
3.432113,-0.253140
4.459603,0.105732
3.628716,0.009492
4.604612,-0.030263
5.306883,-0.075644
3.655085,0.901822
4.191039,1.070758
4.230829,-0.071063
4.218989,-0.953339
3.910300,-0.193329
4.160147,-0.671253
4.235759,-0.002483
3.092262,0.483416
3.985228,-0.461337
4.248270,-0.358958
3.510123,-0.607837
3.632239,0.370113
4.182052,0.202883
3.601328,0.609107
4.290095,0.773380
3.358845,1.333201
2.860393,0.266630
4.552678,0.238321
3.782674,-0.388380
3.865355,0.512421
3.464027,0.799347
3.796886,0.181921
3.935605,-0.370623
3.876958,-0.877145
4.037132,0.235106
3.918934,-0.184119
4.245832,-0.068599
3.613726,0.029158
2.753305,-0.304211
3.222336,0.606029
4.617013,-0.287450
4.664265,0.251630
3.688168,0.470628
3.246165,-0.280892
3.518937,0.209791
3.792935,-0.700231
3.838151,0.742188
4.530932,-0.629178
4.689139,-1.096211
3.569170,-0.927667
4.331614,-0.678053
3.495149,-0.632219
3.844048,-0.318664
3.822224,1.376996
4.480654,-0.053070
