x,y
3.159376,-0.072645
3.828886,1.242082
2.426064,1.005566
1.028541,0.676740
1.287586,-0.874453
0.087908,-0.695709
-1.072173,0.590898
4.161973,-0.963076
2.885935,0.623795
-0.585578,-0.438413
2.984880,-0.828606
0.425914,-0.065546
1.126909,1.136326
2.409861,-0.183306
-0.436827,0.073687
1.750880,0.424274
0.372091,1.689116
3.470813,-0.034658
1.046381,1.048265
1.977529,0.529721
1.776693,1.475205
0.367427,-1.532325
2.099048,1.308046
2.060036,-1.007656
0.155863,0.346786
-1.188210,1.648313
1.513352,-1.296046
0.639864,0.399837
-0.221169,-0.245451
-0.233632,-1.352829
0.617634,-1.451444
0.731576,0.566666
2.494536,0.754642
3.421656,0.533274
-0.142207,-0.384193
1.557780,0.482987
0.108266,0.462995
2.652425,-1.272343
0.513801,1.022009
2.316024,0.053297
-0.999518,1.577043
2.108953,-0.278255
-0.727644,-0.451581
0.926240,0.425338
0.399437,0.697171
3.178007,0.343043
0.569504,2.043624
2.485219,1.069554
-0.033871,0.992972
0.731273,1.220616
2.211687,0.381749
-0.220849,-0.678363
-0.713269,-0.103263
3.367491,1.989471
0.290447,-0.744508
3.167886,0.269363
-0.762114,-1.363363
0.168090,-0.679845
-0.581916,-0.973393
1.127027,-0.622717
0.249022,0.744465
1.066306,0.396427
2.607622,-0.875762
2.573646,-0.089001
-0.540575,-0.262524
2.995047,-0.871510
2.910299,1.948502
3.025535,-0.323363
1.489550,0.344169
2.165014,0.979874
3.497365,-0.935915
1.319084,-0.203199
2.079069,0.311853
-0.755296,-0.278291
2.987316,0.683240
1.447075,-2.585036
2.740345,0.800668
-0.417076,-0.419157
-0.654423,-0.222767
2.962240,-0.479431
-0.115126,-0.859986
1.996970,0.339491
3.576914,-0.142677
0.740290,-1.098759
-0.215053,-0.816807
0.345659,-0.029425
3.238434,0.456547
2.034440,1.268413
2.266862,-0.176715
2.620187,-0.137223
-0.498284,-1.078090
0.613758,-0.279240
0.263765,-0.642916
1.498927,0.912933
2.550985,0.476723
2.509317,-1.180653
3.671567,1.405360
2.425587,-0.109573
1.664060,1.013909
2.234545,1.122968
3.598930,0.523888
1.792609,-1.198110
2.375390,-1.101868
1.948490,-0.348931
0.318184,0.795641
-0.414575,0.951410
2.349590,0.254322
4.441577,-0.545143
0.004602,-0.211128
-1.035894,0.338128
3.274426,-0.524770
0.178276,-0.129924
-0.308443,-0.722050
1.954946,1.643409
2.000320,1.693041
4.054267,-0.359673
-0.817222,-1.271073
-1.113256,-1.188411
4.587397,0.353986
2.658797,-0.330325
1.121477,-1.866051
1.046847,0.009210
3.052166,-0.920513
0.243411,-0.045214
-0.800563,-0.734229
-0.103086,1.114035
1.061496,-0.422258
3.482179,0.548224
2.570772,-1.798381
-0.686933,-1.624394
4.379537,-0.125631
0.022059,0.448198
3.630181,-0.805147
-0.145157,0.363646
2.296169,0.330629
-0.609230,0.550509
0.231795,-0.067001
1.838023,1.112484
2.610068,0.488968
2.296164,-0.863495
3.092690,1.809184
0.386656,0.186919
2.065132,1.416588
3.326485,-1.413451
-0.746096,-0.504163
2.280259,0.867678
-0.136607,0.529485
-0.066990,0.558605
-1.822628,0.167809
3.214838,-1.128860
1.951439,-0.168274
1.472480,-0.174294
2.468784,0.210793
-1.080267,-0.301051
3.614455,0.019144
0.711929,-0.818449
-0.470451,0.944108
4.117918,0.576759
4.002914,0.355204
-0.210738,-0.210723
-0.096327,-0.931718
2.344635,0.795294
3.047107,0.167948
-1.502465,0.489024
1.891247,1.620846
2.593781,-0.056334
2.158785,-0.183222
-0.064809,0.903180
-0.911548,0.282823
1.915650,-1.101546
0.432908,0.201496
0.012536,-0.021713
0.750530,0.413262
-0.097884,0.361541
2.574056,0.958932
-1.367433,-0.435811
-0.227311,-1.123005
4.015535,-0.412996
0.102166,0.595918
-1.464788,0.043276
2.525870,1.150607
1.985939,0.515325
-0.308419,-0.334297
0.309256,-1.586736
0.325256,1.384233
1.992177,0.166096
-0.224068,0.874414
2.475237,1.595026
-1.541821,1.218485
0.204714,1.176428
1.938608,1.722628
3.283061,0.446114
0.163680,0.223399
-0.242466,0.645788
2.277540,-0.613786
2.092924,-2.181491
2.420546,2.321738
0.054207,2.216918
1.347726,0.785212
0.747302,-0.770475
1.609335,0.846694
1.763621,-0.003037
-0.742947,-0.289247
2.843742,0.387037
0.102805,0.135272
1.289995,-0.826787
-1.873736,1.526811
2.482326,0.497241
3.035279,0.768074
-0.883358,0.415893
1.697567,0.157120
1.768253,0.031737
-0.739998,0.219318
-0.242887,-0.880887
3.778454,-0.513672
-0.104083,-0.270993
0.057852,-0.969970
0.299083,-0.673638
3.921615,-0.470574
0.785089,0.165008
1.396811,-1.317937
-0.489944,0.099830
4.355353,1.087530
1.306029,0.863344
3.396443,-0.681116
-2.357771,0.739712
0.559629,-1.413202
1.559672,-1.769721
-1.363672,1.230187
-0.401863,0.770759
2.480769,-0.672491
0.189916,-0.087042
2.808453,0.411078
2.455483,0.607338
0.784012,-0.293421
1.793592,0.583452
2.301132,0.024197
1.926034,-0.477897
-0.031490,1.593721
-0.905416,-1.092770
4.350586,-0.992888
-0.396040,0.117667
1.421292,0.690691
3.466269,-0.923864
3.085181,-0.089258
2.121832,-0.253606
2.201177,0.116299
3.575542,-1.370868
3.002494,0.068405
0.640453,-1.012178
0.467412,1.379465
1.516919,-0.284768
1.396037,0.104107
-1.445802,0.183117
3.570523,-1.104847
0.933786,-0.459015
1.913724,-0.435497
1.615761,-0.202170
-1.064933,-1.835309
-0.633909,-1.267615
3.875622,0.457052
-0.477232,-0.713586
3.150143,-0.335550
4.054789,0.392691
0.752123,-1.016736
-0.247547,-2.071729
1.598542,-0.252990
0.293520,-1.126002
0.294235,-0.197190
-0.012148,-0.951940
0.732165,-1.107778
0.060775,-1.282273
2.553667,-0.582243
-1.195367,0.177175
0.201683,0.011333
1.936994,0.356223
3.428660,-1.337004
0.809640,0.276570
-0.007175,1.331950
0.062822,-0.346782
-1.656787,-1.151619
1.893858,0.251095
3.322226,-0.722861
2.002999,0.569639
0.563101,-0.771442
2.859301,0.582476
2.619673,-0.630109
3.200525,-0.496067
0.322009,0.504706
0.252893,-0.560430
-0.422527,0.488304
0.201471,0.840888
3.078450,1.196237
0.740854,0.065986
0.230427,0.884422
1.693822,1.210878
0.672564,0.549333
-0.933522,-0.171305
2.209588,-0.225750
2.560292,0.464345
-1.258711,0.506672
2.586509,-0.416048
1.411275,0.539936
-1.523218,1.376595
2.083193,-1.680539
2.719421,-0.507671
0.355007,-0.378886
-0.963803,0.434225
0.179154,-0.540195
-0.399864,0.339570
0.664620,0.154231
1.541398,-0.274702
-0.324870,1.043397
1.334787,1.044744
1.330105,-0.466443
0.098455,0.653190
1.654598,-0.129679
-0.485784,-0.700474
0.561708,0.565511
-0.704928,-0.289855
1.610268,-0.993230
0.303842,-0.370689
0.329938,-0.845892
2.662919,-1.167149
2.859719,-0.586221
-0.031241,-1.051810
-0.612022,0.209028
3.743943,0.583839
4.196128,1.388919
0.519365,-0.182741
3.591788,0.127545
1.469170,-1.287127
1.099076,-0.385304
3.037660,0.631055
2.982859,-0.808621
0.371638,-0.507352
-0.032243,1.408179
-0.472068,0.440437
-0.035600,0.613351
2.989240,-0.333553
1.518427,0.793476
1.588909,0.364484
0.050152,0.984772
2.457771,0.429337
0.588929,-0.050026
2.034150,0.201409
0.552750,0.681757
2.458973,0.219006
2.539430,-0.132302
2.984466,0.965257
1.976487,-0.913281
-0.564270,1.631204
-0.956073,0.426233
0.976339,-0.088506
2.680512,1.033774
2.475426,-0.839941
-0.431257,-0.167093
0.465893,-0.653169
-0.960858,-0.128142
-0.657330,0.194813
2.307901,1.341654
3.383589,-0.292348
-0.891483,-0.509668
1.865489,-0.050192
-1.600848,1.346440
-1.134796,0.826076
1.074487,0.684373
0.742875,0.732159
0.373361,-0.908758
0.321314,-0.623619
2.477476,0.735990
-0.683219,0.135354
2.098435,-1.700587
-1.726894,-0.023862
3.567134,0.647058
0.217766,-1.721952
0.342178,0.549527
-1.330728,1.029379
0.068224,-0.609446
0.052388,-1.028673
2.680989,0.945589
3.137298,0.861032
0.291750,-0.117129
-0.352897,-1.317163
1.947938,-0.272223
-0.327251,-0.051251
-1.330670,-0.647860
1.853433,0.805432
2.831806,-0.354005
-2.385873,0.982356
0.220470,-0.456249
3.751187,0.502029
0.855381,-0.519213
0.746465,-1.990022
0.705638,0.336651
2.101046,-0.796322
1.937864,-0.690613
0.298137,0.877991
0.454489,0.779180
1.380523,-0.623615
1.237655,1.574619
-0.795472,0.138353
1.924934,-1.190781
0.858602,0.586252
2.626798,-1.591595
1.748188,1.930634
-0.413425,-0.764860
2.633801,-0.303377
-1.174023,0.602705
2.701523,1.227726
2.941877,0.661390
3.745846,0.507518
3.163160,-0.253195
-0.490427,0.359223
3.256579,-0.587362
