x,y
0.135399,-0.166115
-0.180026,0.249140
-0.209089,0.419604
0.011327,0.011902
-0.395842,-0.050315
-0.015054,0.441321
1.231552,0.447830
0.249648,0.251338
0.083545,-0.783868
-0.338717,-0.605939
0.132926,-0.299395
-0.030841,0.136461
-0.309516,-0.497862
0.144558,0.615215
0.024092,0.985297
0.103020,-0.029778
0.108183,-0.020095
-0.043504,0.160685
-0.363210,-0.564921
0.201995,0.346302
-0.323397,-0.200703
0.102412,0.393076
-0.258629,-0.432619
0.197327,0.073934
0.228356,0.454226
0.100197,0.138579
0.043758,0.290307
0.165374,0.750718
0.118448,0.104422
-0.563005,-0.311127
-0.260734,0.018959
-1.060388,0.436603
0.412400,0.372512
0.144654,-0.258048
-0.279890,0.085592
-0.176018,0.052296
-0.424921,0.189437
0.022290,0.437677
0.085637,-0.498296
1.029344,0.023687
0.433220,0.421521
-0.060714,0.235327
-0.098297,-0.109089
0.250267,-0.342863
0.284384,0.177705
0.018229,-0.260640
0.591158,-0.207308
0.074707,-0.302153
-0.194145,0.032750
0.094246,0.308346
-0.096130,-0.149928
-0.007405,-0.115463
0.103889,-0.361727
0.258150,0.547453
-0.620265,0.027425
-0.613646,0.511071
-0.229465,-0.218744
-0.676986,0.611820
0.005572,-0.009650
-0.099586,0.388628
-0.512172,0.701918
0.132505,0.390218
0.068346,-0.073593
0.048118,0.205776
-0.313301,-0.128825
0.651446,-0.552041
-0.350247,-0.553120
-0.305304,-0.721953
-0.476521,0.262621
0.274504,-0.645086
0.752810,0.538168
0.385350,0.165112
0.097987,-0.202777
-0.591434,0.457502
0.348928,0.073337
-0.566148,-0.168258
-0.098155,-0.301494
0.848862,0.412986
-0.087869,0.142845
-0.579234,-0.562986
-0.217968,0.159654
-0.343343,0.280124
-0.637771,-0.239750
0.237241,-0.123819
0.191592,0.133465
0.359840,0.122920
-0.188415,0.092820
0.007367,0.670575
-0.379760,1.052953
-0.331598,-0.224072
-0.521788,0.267869
0.084407,-0.038685
-0.101991,0.601597
0.853213,-0.780835
0.620461,0.046270
-0.205547,-0.423685
-0.355806,-0.326324
0.002097,0.018792
0.402517,-0.230757
0.019409,-0.332380
0.467113,0.101768
0.480486,-0.163230
-0.195042,-0.173023
0.824299,0.702136
-0.003189,0.591978
-0.317008,-0.045895
0.117229,-0.285741
0.189295,-0.029132
0.130771,-0.087640
-0.488851,0.285199
-0.209808,0.195750
0.261746,-0.022234
0.089637,0.005037
0.157781,-0.168394
0.576509,-0.574345
-0.607748,-0.193694
0.366161,0.131500
0.288669,-0.451621
0.506764,-0.283068
-0.107950,-0.391505
0.090984,0.522857
-0.212103,-0.317149
0.248724,-0.628090
-0.107763,0.287017
-1.296507,-0.409755
-0.290855,-0.099007
-0.689967,-0.224915
-0.064514,0.161620
-0.089385,0.285600
-0.045816,0.495127
0.739582,0.450626
0.171847,0.083075
0.785890,0.014105
0.329018,-0.488337
0.875921,-0.323319
-0.184256,0.422849
0.115910,0.830160
-0.396215,-0.226519
-0.327288,0.836955
0.135041,-0.164751
-0.236958,-0.345596
0.198686,-0.055306
0.071080,-0.534138
-0.185367,-0.186292
0.511066,-0.236629
0.143115,0.224314
-0.390349,0.421457
0.295387,0.068547
-0.230709,0.302156
-0.504354,0.367145
0.334277,-0.451883
-0.270769,0.244671
-0.145445,-0.022778
0.328824,0.758717
0.177528,0.309854
-0.442534,-0.478483
-0.292147,0.086583
0.208777,0.118794
0.330167,0.325404
0.030322,-0.270865
-0.810057,0.074582
-0.250787,0.724979
-0.681353,-0.022219
0.666190,0.405748
0.111987,-0.450196
0.459709,-0.281271
0.045691,0.060121
0.129634,-0.154033
0.657987,-0.099614
-0.044931,-0.088388
-0.427048,-0.056952
0.925863,-0.746906
0.652965,-0.572057
0.325010,0.542496
0.079624,-0.240087
0.129087,-0.330892
-0.642579,0.081385
0.706182,0.161993
0.463244,0.316665
0.331762,-0.884454
-0.287378,-0.085379
-0.432423,0.421261
0.002045,-0.093835
-0.137075,-0.148576
-0.528093,0.732584
0.857578,0.253568
0.245667,0.303003
0.223916,0.432312
0.325145,0.251852
-0.826977,-0.035648
