x,y,z
-7.623097,0.201748,6.594910
-6.260048,-4.616991,-3.188136
-4.664093,-5.668330,-2.939093
-9.011561,0.959722,4.388009
-3.666126,1.588909,-10.730272
-1.857429,-4.235442,-8.894105
-9.133287,-2.608966,8.792566
-2.703337,3.137946,-11.176925
-3.955814,-3.147035,-2.827249
-3.902491,-0.626273,-6.496938
-2.104704,-1.456985,-8.761245
-2.505377,-1.194359,-7.143024
-8.238425,0.394322,8.799976
-10.160478,0.384181,7.100266
-4.193408,0.902051,-11.016744
-8.764592,-0.895221,5.798127
-8.097874,-3.911619,-3.485752
-2.743596,-0.755193,-9.160404
-4.436572,1.004102,-12.068888
-9.317252,-0.925199,7.517360
-7.575353,-0.257183,6.122377
-7.647587,-4.641267,-3.772864
-1.163671,0.641329,-10.748387
-7.108912,1.222500,4.239767
-5.251013,-4.336967,-3.358512
-6.337415,-6.227103,-1.018985
-9.328545,-1.366669,7.581914
-4.121339,-1.234760,-8.688607
-9.356350,0.668330,6.056282
-4.503988,-6.162178,-3.301189
-1.953182,0.364749,-10.678020
-6.108806,-6.537098,-4.261092
-7.692318,0.483825,7.348644
-2.313172,1.554411,-11.384673
-0.983140,-0.080685,-10.195219
-1.947038,-6.908404,-1.555603
-0.915299,3.586893,-10.950204
-3.665961,-2.825965,-3.189583
-1.039468,-5.386719,-7.854103
-10.005049,-3.791275,8.954756
-7.045345,-6.380297,-5.383542
-8.296401,1.106957,5.371839
-0.151800,2.016735,-11.890656
-3.439549,-1.180402,-7.773934
-6.149434,-2.686289,-3.361991
-6.914103,0.214756,8.794466
-5.113841,-4.599494,-0.025505
-5.098252,-0.627916,6.613618
-6.130764,1.812066,6.330513
-6.505784,-4.853430,-3.432673
-3.488928,1.426338,-9.309042
-10.350672,2.263246,7.162688
-1.201771,-0.185046,-9.946601
-4.814845,-3.280360,-3.208032
-7.135480,-0.599072,5.821853
-7.084923,-5.525172,-3.650600
-1.305691,-3.281964,-8.940407
-5.864785,-2.624034,-2.628506
-9.915540,0.584511,7.288794
-4.189172,-4.816121,-4.935510
-7.694364,-4.250995,8.202044
-9.799802,-1.039984,8.326397
-7.612059,1.645904,8.092239
-8.063963,0.653909,7.467840
-1.307464,-2.317704,-11.739349
-5.699130,-0.087378,-9.488642
-6.684221,-2.672971,8.413326
-6.377111,-1.685681,-3.229570
-4.561484,-3.025616,-4.180597
-5.043699,-4.605321,-3.152052
-1.191125,-1.627390,-8.856900
-0.268747,1.692948,-7.033857
-7.608295,-1.493324,9.434825
-6.027753,-1.323076,5.863235
-3.817451,0.217006,8.519802
-8.207990,1.485524,8.375306
-7.126602,-1.871837,7.523857
-4.410585,-6.939057,-2.427306
-5.791228,-5.754612,-2.228741
-1.903573,1.213046,-9.428590
-5.655518,-3.323048,-3.922460
-0.144277,1.206969,-8.395502
-8.845718,-1.354175,9.216359
-4.425667,0.793725,-8.173609
-4.726967,0.144456,-10.697348
-6.679871,1.478704,-10.246434
-7.453302,-2.063425,11.643220
-3.561807,-4.604639,-0.997498
-5.325138,-0.960918,-8.587571
-2.363853,-3.322507,-7.033058
-1.413254,-1.950843,-10.029479
-5.730361,-4.153050,-2.492300
-5.561797,-3.243913,-5.607727
-3.317551,3.593894,-10.482999
-0.013032,-2.325937,-7.760814
-5.100558,-4.032252,-4.082369
-4.086228,-0.608977,-9.226219
-4.111927,-6.248979,-3.719223
-2.277175,2.907649,-8.766164
-4.157399,-5.504429,-1.847538
-6.717254,1.367927,7.209130
-6.270664,0.278555,7.781901
-4.413656,-3.563623,-1.657809
-8.306249,1.356028,10.483954
-4.936932,-6.335769,-3.291493
-7.549982,1.943735,3.674494
-6.844963,0.681944,9.836752
-7.896541,-6.053815,-3.308562
-10.239246,-1.386430,5.487080
-4.722562,-1.110748,-9.962373
-4.891556,-2.076766,-3.324443
-6.635127,2.129821,7.741950
